Title,NARelease,EURelease,Publisher
Die Hard,Jan-92,Jan-92,Activision
Dig Dug II,Dec-89,Unreleased,Bandai
Digger T. Rock: Legend of the Lost City,Dec-90,1991,Milton Bradley Company
Dirty Harry,Dec-90,Unreleased,Mindscape
Disney's Aladdin,Unreleased,23-Feb-95,Virgin Interactive (EU)
Disney's Beauty and the Beast,Unreleased,1994,Hudson Soft (EU)
Disney's Darkwing Duck,Jun-92,9-Dec-93,Capcom
Disney's The Jungle Book,Aug-94,25-Aug-94,Virgin Interactive
Disney's The Lion King,Unreleased,25-May-95,Virgin Interactive
Disney's The Little Mermaid,Jul-91,Unreleased,Capcom
Donkey Kong,Jun-86,15-Oct-86,Nintendo
Donkey Kong 3,Jun-86,Sep-87,Nintendo
Donkey Kong Classics,Oct-88,10-Aug-89,Nintendo
Donkey Kong Jr.,Jun-86,15-Jun-87,Nintendo
Donkey Kong Jr. Math,Jun-86,1986,Nintendo
Double Dare,Apr-90,Unreleased,GameTek
Double Dragon,Jun-88,24-Nov-94,Tradewest
Double Dragon II: The Revenge,Jan-90,1990,Acclaim Entertainment
Double Dragon III: The Sacred Stones,Feb-91,24-Nov-94,Acclaim Entertainment
Double Dribble,Sep-87,1988,Konami
Dr. Chaos,Nov-88,Unreleased,FCI
Dr. Jekyll and Mr. Hyde,Apr-89,Unreleased,Bandai
Dr. Mario,Oct-90,27-Jun-91,Nintendo
Dragon Fighter,Jan-92,Unreleased,SOFEL
Dragon Power,Mar-88,Template:1990,Bandai
Dragon Spirit,Jun-90,Unreleased,Bandai
Dragon Warrior,Aug-89,Unreleased,Nintendo
Dragon Warrior II,Sep-90,Unreleased,Enix
Dragon Warrior III,Mar-92,Unreleased,Enix
Dragon Warrior IV,Oct-92,Unreleased,Enix
Dragon's Lair,Dec-90,3-Jan-92,Sony Imagesoft (NA)
,,,Elite Systems (EU)
Dropzone,Unreleased,1992,Mindscape
Duck Hunt,18-Oct-85,15-Aug-87,Nintendo
DuckTales,Sep-89,14-Dec-90,Capcom
DuckTales 2,Jun-93,18-Nov-93,Capcom
Dungeon Magic: Sword of the Elements,Jul-90,Unreleased,Taito
Dusty Diamond's All-Star Softball,Jul-90,Unreleased,Brøderbund
Dynowarz: Destruction of Spondylus,Apr-89,Unreleased,Bandai
Elevator Action,Aug-87,Unreleased,Taito
Eliminator Boat Duel,Nov-91,29-Apr-93,Electro Brain
Elite,Unreleased,1991,Imagineer
Excitebike,18-Oct-85,1-Sep-86,Nintendo
F-117A Stealth Fighter,Dec-92,Unreleased,MicroProse
F-15 Strike Eagle,Feb-92,18-Feb-93,MicroProse
Family Feud,May-91,Unreleased,GameTek
Faria: A World of Mystery and Danger,Jun-91,Unreleased,ASCII
Faxanadu,Aug-89,28-Dec-90,Nintendo
Felix the Cat,Oct-92,Unreleased,Hudson Soft
Ferrari Grand Prix Challenge,Jun-92,Jun-92,Acclaim Entertainment
Fester's Quest,Sep-89,14-Sep-90,Sunsoft
Final Fantasy,May-90,Unreleased,Nintendo
Fire 'n Ice,Mar-93,18-Mar-93,Tecmo
Fisher-Price: Firehouse Rescue,Mar-92,Unreleased,GameTek
Fisher-Price: I Can Remember,Mar-90,Unreleased,GameTek
Fisher-Price: Perfect Fit,Mar-90,Unreleased,GameTek
Fist of the North Star,Apr-89,Unreleased,Taxan
Flight of the Intruder,May-91,Unreleased,Mindscape
The Flintstones: The Rescue of Dino & Hoppy,Dec-91,30-Apr-92,Taito (NA/EU)
,,,Mattel (AU)
The Flintstones: Surprise at Dinosaur Peak,Aug-94,24-Feb-94,Taito
Flying Dragon: The Secret Scroll,Aug-89,Unreleased,Culture Brain
Flying Warriors,Feb-91,Unreleased,Culture Brain
Formula One: Built to Win,Nov-90,Unreleased,SETA
Formula One Sensation,Unreleased,1993,Palcom
Frankenstein: The Monster Returns,Jul-91,Unreleased,Bandai
Freedom Force,Apr-88,Unreleased,Sunsoft
Friday the 13th,Feb-89,Unreleased,LJN
Fun House,Jan-91,Unreleased,Hi Tech Expressions
G.I. Joe: A Real American Hero,Jan-91,Unreleased,Taxan
G.I. Joe: The Atlantis Factor,Mar-92,Unreleased,Capcom
Galaga,Sep-88,Unreleased,Bandai
Galaxy 5000,Feb-91,Feb-91,Activision
Gargoyle's Quest II,Oct-92,17-Jun-93,Capcom
Gauntlet,Jul-88,Unreleased,Tengen
Gauntlet II,Sep-90,25-Apr-91,Mindscape
Gemfire,Mar-92,Unreleased,Koei
Genghis Khan,Jan-90,Unreleased,Koei
George Foreman's KO Boxing,Dec-92,Dec-92,Acclaim Entertainment
Ghostbusters,Oct-88,Unreleased,Activision
Ghostbusters II,Apr-90,7-Dec-90,Activision
Ghost Lion,Oct-92,Unreleased,Kemco
Ghosts 'n Goblins,Nov-86,23-Mar-89,Capcom
Ghoul School,Mar-92,Unreleased,Electro Brain
Goal!,Oct-89,24-Mar-94,Jaleco
Goal! Two,Nov-92,1992,Jaleco
Godzilla: Monster of Monsters,Oct-89,1991,Toho
Godzilla 2: War of the Monsters,Feb-92,Unreleased,Toho
Golf,18-Oct-85,15-Nov-86,Nintendo
Golf Grand Slam,Nov-91,Unreleased,Atlus
Golgo 13: Top Secret Episode,Sep-88,Unreleased,Vic Tokai
The Goonies II,Nov-87,19-Dec-88,Konami
Gotcha! The Sport!,Nov-87,Unreleased,LJN
Gradius,Dec-86,30-Nov-88,Konami
The Great Waldo Search,Dec-92,Unreleased,THQ
Greg Norman's Golf Power,Jul-92,Unreleased,Virgin Interactive
Gremlins 2: The New Batch,Oct-90,21-Feb-91,Sunsoft
The Guardian Legend,Apr-89,20-Feb-92,Brøderbund (NA)
,,,Nintendo (EU)
Guerrilla War,Jun-89,Unreleased,SNK
Gumshoe,Aug-86,15-Jun-88,Nintendo
Gun-Nac,Sep-91,Unreleased,ASCII
Gun.Smoke,Feb-88,23-Dec-88,Capcom
Gyromite,18-Oct-85,1-Sep-86,Nintendo
Gyruss,Feb-89,Unreleased,Ultra Games
Hammerin' Harry,Unreleased,1992,Irem
Harlem Globetrotters,Mar-91,Unreleased,GameTek
Hatris,Apr-92,Unreleased,Bullet-Proof Software
Heavy Barrel,Mar-90,Unreleased,Data East
Heavy Shreddin',Jun-90,1990,Parker Brothers
High Speed,Jul-91,28-Apr-94,Tradewest
Hogan's Alley,18-Oct-85,15-Dec-87,Nintendo
Hollywood Squares,Sep-89,Unreleased,GameTek
Home Alone,Oct-91,Unreleased,THQ
Home Alone 2: Lost in New York,Oct-92,Unreleased,THQ
Hook,Apr-92,Unreleased,Sony Imagesoft (NA)
,,,Ocean Software (EU)
Hoops,Jun-89,Unreleased,Jaleco
Hudson Hawk,Feb-92,Unreleased,Sony Imagesoft (NA)
,,,Ocean Software (EU)
The Hunt for Red October,Jan-91,Unreleased,Hi Tech Expressions
Hydlide,Jun-89,Unreleased,FCI
Ice Climber,18-Oct-85,1-Sep-86,Nintendo
Ice Hockey,Mar-88,15-Apr-88,Nintendo
Ikari Warriors,May-87,10-Aug-89,SNK
Ikari Warriors II: Victory Road,Apr-88,Unreleased,SNK
Ikari Warriors III: The Rescue,Feb-91,Unreleased,SNK
Image Fight,Jun-90,Unreleased,Irem
The Immortal,Nov-90,Unreleased,Electronic Arts
The Incredible Crash Dummies,Aug-94,21-Oct-93,LJN
Indiana Jones and the Last Crusade,Mar-91,Unreleased,Taito
Indiana Jones and the Last Crusade,Dec-93,Unreleased,Ubisoft
Indiana Jones and the Temple of Doom,Dec-88,Unreleased,Mindscape
Infiltrator,Jan-90,Unreleased,Mindscape
International Cricket,Unreleased,1992,Mattel
Iron Tank,Jul-88,Unreleased,SNK
Ironsword: Wizards & Warriors II,Dec-89,27-Mar-91,Acclaim Entertainment
Isolated Warrior,Feb-91,Unreleased,NTVIC
Ivan 'Ironman' Stewart's Super Off Road,Apr-90,14-Mar-91,Tradewest
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Mar-90,27-Jun-91,Konami
Jackal,Sep-88,1-Jan-89,Konami
Jackie Chan's Action Kung Fu,Dec-90,1991,Hudson Soft
James Bond Jr.,Nov-92,Unreleased,THQ
Jaws,Nov-87,Unreleased,LJN
Jeopardy!,Sep-88,Unreleased,GameTek
Jeopardy! 25th Anniversary Edition,Jun-90,Unreleased,GameTek
Jeopardy! Junior Edition,Oct-89,Unreleased,GameTek
The Jetsons: Cogswell's Caper!,Dec-92,26-Aug-93,Taito
Jimmy Connors Tennis,Nov-93,Unreleased,Ubisoft
Joe & Mac (NA),Dec-92,1992,Data East (NA)
Joe & Mac: Caveman Ninja (EU),,,Elite Systems (EU)
John Elway's Quarterback,Mar-89,Unreleased,Tradewest
Jordan vs. Bird: One on One,Aug-89,Unreleased,Milton Bradley Company
Journey to Silius,Sep-90,21-Feb-91,Sunsoft
Joust,Oct-88,Unreleased,HAL America
Jurassic Park,Jun-93,28-Dec-93,Ocean Software
Kabuki Quantum Fighter,Jan-91,20-Feb-92,HAL America
Karate Champ,Dec-86,Unreleased,Data East
